layer,id_leverage_generic,output_control,stages
0,0.674866,0.012464,-0.696106
1,-0.515508,-0.025720,0.420945
2,-0.478465,-0.031106,0.381132
3,-0.458732,-0.023259,0.387453
4,0.501340,0.016482,-0.440020
5,0.511085,0.018080,-0.441804
6,0.535641,0.014619,-0.469395
7,0.565104,0.012000,-0.495377
8,0.580984,0.013717,-0.494202
9,0.590913,0.016754,-0.482855
10,0.568474,0.006369,-0.523379
11,0.559008,0.013635,-0.487995
12,0.540273,0.016180,-0.467735
13,0.543826,0.009164,-0.496847
14,0.561627,0.009143,-0.507561
15,0.589738,0.008223,-0.521227
16,0.590349,0.011098,-0.507376
17,0.578440,0.009664,-0.509782
18,0.593325,0.009583,-0.511116
19,0.593808,0.017242,-0.479005
20,0.579251,0.016753,-0.480439
21,-0.589085,-0.014573,0.486399
22,-0.596880,-0.017058,0.481102
23,-0.621557,-0.015302,0.486842
24,-0.594132,-0.015300,0.488743
25,-0.600888,-0.016155,0.484852
26,0.579642,0.011670,-0.500440
27,0.576707,0.011299,-0.500185
28,0.613179,0.027051,-0.443196
29,0.616576,0.008064,-0.515539
30,0.657696,0.007248,-0.499333
31,-0.712304,-0.007158,0.455782
32,-0.718138,-0.010058,0.444292
33,-0.744628,0.004593,0.450781
34,-0.747090,-0.006175,0.424848
35,-0.688235,-0.019199,0.453282
36,-0.670020,-0.016652,0.477750
37,-0.689942,-0.026044,0.437658
38,-0.679405,-0.029470,0.438276
39,0.658100,0.037056,-0.426503
40,0.672205,0.040447,-0.413334
41,-0.686046,-0.049171,0.389643
42,-0.673608,-0.052649,0.385666
43,-0.687631,-0.053818,0.379820
44,-0.673242,-0.050456,0.392687
45,-0.654034,-0.054860,0.385867
46,-0.641985,-0.054880,0.387831
47,0.567007,0.057416,-0.366362
