task,layer_i,layer_j,cosine_adjacent
id_leverage_generic,0,1,0.133886
id_leverage_generic,1,2,0.964198
id_leverage_generic,2,3,0.972183
id_leverage_generic,3,4,0.896496
id_leverage_generic,4,5,0.966216
id_leverage_generic,5,6,0.957665
id_leverage_generic,6,7,0.939453
id_leverage_generic,7,8,0.920761
id_leverage_generic,8,9,0.942829
id_leverage_generic,9,10,0.933363
id_leverage_generic,10,11,0.936883
id_leverage_generic,11,12,0.954631
id_leverage_generic,12,13,0.951174
id_leverage_generic,13,14,0.944573
id_leverage_generic,14,15,0.942724
id_leverage_generic,15,16,0.943243
id_leverage_generic,16,17,0.949466
id_leverage_generic,17,18,0.951172
id_leverage_generic,18,19,0.947087
id_leverage_generic,19,20,0.947234
id_leverage_generic,20,21,0.951933
id_leverage_generic,21,22,0.952904
id_leverage_generic,22,23,0.962714
id_leverage_generic,23,24,0.948426
id_leverage_generic,24,25,0.959752
id_leverage_generic,25,26,0.960160
id_leverage_generic,26,27,0.963786
id_leverage_generic,27,28,0.957183
id_leverage_generic,28,29,0.949211
id_leverage_generic,29,30,0.934949
id_leverage_generic,30,31,0.935121
id_leverage_generic,31,32,0.945043
id_leverage_generic,32,33,0.938513
id_leverage_generic,33,34,0.937055
id_leverage_generic,34,35,0.937142
id_leverage_generic,35,36,0.949474
id_leverage_generic,36,37,0.940734
id_leverage_generic,37,38,0.956131
id_leverage_generic,38,39,0.955124
id_leverage_generic,39,40,0.956143
id_leverage_generic,40,41,0.947231
id_leverage_generic,41,42,0.961143
id_leverage_generic,42,43,0.956075
id_leverage_generic,43,44,0.945983
id_leverage_generic,44,45,0.936258
id_leverage_generic,45,46,0.944988
id_leverage_generic,46,47,0.928946
output_control,0,1,0.026697
output_control,1,2,0.958494
output_control,2,3,0.963056
output_control,3,4,0.921903
output_control,4,5,0.972275
output_control,5,6,0.956630
output_control,6,7,0.960842
output_control,7,8,0.935524
output_control,8,9,0.960991
output_control,9,10,0.971117
output_control,10,11,0.970794
output_control,11,12,0.972014
output_control,12,13,0.971222
output_control,13,14,0.965004
output_control,14,15,0.949956
output_control,15,16,0.925595
output_control,16,17,0.945090
output_control,17,18,0.947261
output_control,18,19,0.933037
output_control,19,20,0.928587
output_control,20,21,0.916067
output_control,21,22,0.924840
output_control,22,23,0.934748
output_control,23,24,0.936154
output_control,24,25,0.940691
output_control,25,26,0.925259
output_control,26,27,0.942429
output_control,27,28,0.934931
output_control,28,29,0.932347
output_control,29,30,0.921492
output_control,30,31,0.904285
output_control,31,32,0.934153
output_control,32,33,0.947223
output_control,33,34,0.944503
output_control,34,35,0.942605
output_control,35,36,0.961992
output_control,36,37,0.979447
output_control,37,38,0.966821
output_control,38,39,0.981662
output_control,39,40,0.987185
output_control,40,41,0.990297
output_control,41,42,0.992464
output_control,42,43,0.992818
output_control,43,44,0.988196
output_control,44,45,0.979135
output_control,45,46,0.961593
output_control,46,47,0.960990
stages,0,1,0.122538
stages,1,2,0.970610
stages,2,3,0.973857
stages,3,4,0.934968
stages,4,5,0.972001
stages,5,6,0.940138
stages,6,7,0.948821
stages,7,8,0.949783
stages,8,9,0.937165
stages,9,10,0.915051
stages,10,11,0.941149
stages,11,12,0.961240
stages,12,13,0.955107
stages,13,14,0.941983
stages,14,15,0.938602
stages,15,16,0.928776
stages,16,17,0.940254
stages,17,18,0.945212
stages,18,19,0.932653
stages,19,20,0.941383
stages,20,21,0.920718
stages,21,22,0.922619
stages,22,23,0.944268
stages,23,24,0.941717
stages,24,25,0.947207
stages,25,26,0.931073
stages,26,27,0.935841
stages,27,28,0.934543
stages,28,29,0.909169
stages,29,30,0.919904
stages,30,31,0.921887
stages,31,32,0.927179
stages,32,33,0.923520
stages,33,34,0.927168
stages,34,35,0.946606
stages,35,36,0.954840
stages,36,37,0.949594
stages,37,38,0.943179
stages,38,39,0.960624
stages,39,40,0.970981
stages,40,41,0.974842
stages,41,42,0.974601
stages,42,43,0.978897
stages,43,44,0.968508
stages,44,45,0.960575
stages,45,46,0.917120
stages,46,47,0.922815
