model_id,task,variant,vector_variant,steering_mode,vector_source,coefficient,hook_variant,positions,layers,n_requested,n_processed,invalid,accuracy,runtime_seconds,comment
qwen-2.5-14b-instruct,stages_oversight,plain,sp,add,id_leverage,0.0,pre,all,[25],200,200,0,0.580000,136.728,baseline_coeff_0
qwen-2.5-14b-instruct,output_control,plain,sp,add,id_leverage,0.0,pre,all,[25],200,195,0,0.374359,19.453,baseline_coeff_0
qwen-2.5-14b-instruct,id_leverage_generic,plain,sp,add,id_leverage,0.0,pre,all,[25],200,200,0,0.545000,693.271,baseline_coeff_0
qwen-2.5-14b-instruct,stages_oversight,plain,plain,add,id_leverage,0.0,pre,all,[25],200,200,0,0.580000,136.728,baseline_coeff_0
qwen-2.5-14b-instruct,output_control,plain,plain,add,id_leverage,0.0,pre,all,[25],200,195,0,0.374359,19.453,baseline_coeff_0
qwen-2.5-14b-instruct,id_leverage_generic,plain,plain,add,id_leverage,0.0,pre,all,[25],200,200,0,0.545000,693.271,baseline_coeff_0
qwen-2.5-14b-instruct,stages_oversight,plain,sp,add,id_leverage,0.25,pre,all,[25],200,200,0,0.580000,134.800,sp_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,output_control,plain,sp,add,id_leverage,0.25,pre,all,[25],200,195,0,0.400000,19.388,sp_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,id_leverage_generic,plain,sp,add,id_leverage,0.25,pre,all,[25],200,200,0,0.540000,759.563,sp_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,stages_oversight,plain,sp,add,id_leverage,0.5,pre,all,[25],200,200,0,0.585000,139.604,sp_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,output_control,plain,sp,add,id_leverage,0.5,pre,all,[25],200,195,0,0.420513,18.187,sp_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,id_leverage_generic,plain,sp,add,id_leverage,0.5,pre,all,[25],200,200,0,0.555000,662.921,sp_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,stages_oversight,plain,plain,add,id_leverage,0.25,pre,all,[25],200,200,0,0.585000,137.004,plain_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,output_control,plain,plain,add,id_leverage,0.25,pre,all,[25],200,195,0,0.364103,19.168,plain_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,id_leverage_generic,plain,plain,add,id_leverage,0.25,pre,all,[25],200,200,0,0.535000,681.780,plain_proj_equiv_coeff_0.25
qwen-2.5-14b-instruct,stages_oversight,plain,plain,add,id_leverage,0.5,pre,all,[25],200,200,0,0.585000,133.519,plain_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,output_control,plain,plain,add,id_leverage,0.5,pre,all,[25],200,195,0,0.353846,19.383,plain_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,id_leverage_generic,plain,plain,add,id_leverage,0.5,pre,all,[25],200,200,0,0.570000,668.602,plain_proj_equiv_coeff_0.5
qwen-2.5-14b-instruct,id_leverage_generic,plain,add,steering_vectors_qwen-2.5-14b-instruct__sp_diff_proj_equiv.npz,1.0,pre,all,[25],200,200,0,0.540000,722.524,sp_proj_equiv_coeff_2.5
qwen-2.5-14b-instruct,id_leverage_generic,plain,add,steering_vectors_qwen-2.5-14b-instruct__sp_diff_proj_equiv.npz,2.5,pre,all,[25],200,200,0,0.525000,693.239,sp_proj_equiv_coeff_2.5
