layer,id_leverage_generic,output_control,stages
0,0.502771,-0.841468,0.472928
1,0.791288,-0.944046,0.845393
2,0.826236,-0.954269,0.875406
3,0.836987,-0.954171,0.872275
4,0.799023,-0.943136,0.834362
5,0.791705,-0.942166,0.832354
6,0.766275,-0.934814,0.808551
7,0.736889,-0.928548,0.785460
8,0.723054,-0.927451,0.784930
9,0.710448,-0.923924,0.787887
10,0.729394,-0.924736,0.762399
11,0.753840,-0.938392,0.801640
12,0.770338,-0.940773,0.816419
13,0.761680,-0.935854,0.793127
14,0.744769,-0.932750,0.782617
15,0.709101,-0.922250,0.760878
16,0.710417,-0.923623,0.771864
17,0.717570,-0.921633,0.767869
18,0.695670,-0.914277,0.758125
19,0.701190,-0.918682,0.784111
20,0.722565,-0.925934,0.791713
21,0.697502,-0.912863,0.772623
22,0.700876,-0.920434,0.784877
23,0.674343,-0.916971,0.777210
24,0.705498,-0.922218,0.782207
25,0.696237,-0.919538,0.781492
26,0.715957,-0.921110,0.773395
27,0.715133,-0.918628,0.770596
28,0.680489,-0.915599,0.801644
29,0.667319,-0.908524,0.748131
30,0.625073,-0.907319,0.757591
31,0.570315,-0.912461,0.790506
32,0.567580,-0.915298,0.800296
33,0.527664,-0.912620,0.793534
34,0.533019,-0.917722,0.813484
35,0.618965,-0.925428,0.807044
36,0.646366,-0.930826,0.799044
37,0.627097,-0.931982,0.823241
38,0.648010,-0.938424,0.830315
39,0.678332,-0.944381,0.843401
40,0.663365,-0.943545,0.849157
41,0.655549,-0.947620,0.865207
42,0.672008,-0.950037,0.869829
43,0.658429,-0.950509,0.872982
44,0.675091,-0.952080,0.868791
45,0.698948,-0.955657,0.876012
46,0.714984,-0.959341,0.879166
47,0.787625,-0.968789,0.898682
