task,layer_i,layer_j,cosine_adjacent
id_leverage_generic,0,1,0.079133
id_leverage_generic,1,2,0.956743
id_leverage_generic,2,3,0.970898
id_leverage_generic,3,4,0.919725
id_leverage_generic,4,5,0.959999
id_leverage_generic,5,6,0.960505
id_leverage_generic,6,7,0.932790
id_leverage_generic,7,8,0.918765
id_leverage_generic,8,9,0.947741
id_leverage_generic,9,10,0.942921
id_leverage_generic,10,11,0.941949
id_leverage_generic,11,12,0.964022
id_leverage_generic,12,13,0.964681
id_leverage_generic,13,14,0.961401
id_leverage_generic,14,15,0.954594
id_leverage_generic,15,16,0.958399
id_leverage_generic,16,17,0.958267
id_leverage_generic,17,18,0.950395
id_leverage_generic,18,19,0.946544
id_leverage_generic,19,20,0.949502
id_leverage_generic,20,21,0.949986
id_leverage_generic,21,22,0.948105
id_leverage_generic,22,23,0.961633
id_leverage_generic,23,24,0.954271
id_leverage_generic,24,25,0.961003
id_leverage_generic,25,26,0.970992
id_leverage_generic,26,27,0.957906
id_leverage_generic,27,28,0.963631
id_leverage_generic,28,29,0.964312
id_leverage_generic,29,30,0.961704
id_leverage_generic,30,31,0.956311
id_leverage_generic,31,32,0.959211
id_leverage_generic,32,33,0.963469
id_leverage_generic,33,34,0.962608
id_leverage_generic,34,35,0.961478
id_leverage_generic,35,36,0.966180
id_leverage_generic,36,37,0.966080
id_leverage_generic,37,38,0.970389
id_leverage_generic,38,39,0.967252
id_leverage_generic,39,40,0.970013
id_leverage_generic,40,41,0.968171
id_leverage_generic,41,42,0.977726
id_leverage_generic,42,43,0.975427
id_leverage_generic,43,44,0.971694
id_leverage_generic,44,45,0.964475
id_leverage_generic,45,46,0.965397
id_leverage_generic,46,47,0.953709
output_control,0,1,0.030535
output_control,1,2,0.958756
output_control,2,3,0.964714
output_control,3,4,0.916259
output_control,4,5,0.970116
output_control,5,6,0.954601
output_control,6,7,0.958684
output_control,7,8,0.928299
output_control,8,9,0.958650
output_control,9,10,0.967060
output_control,10,11,0.969246
output_control,11,12,0.970404
output_control,12,13,0.969622
output_control,13,14,0.966025
output_control,14,15,0.949051
output_control,15,16,0.924525
output_control,16,17,0.946296
output_control,17,18,0.947577
output_control,18,19,0.935936
output_control,19,20,0.930239
output_control,20,21,0.919113
output_control,21,22,0.926855
output_control,22,23,0.937821
output_control,23,24,0.938908
output_control,24,25,0.941738
output_control,25,26,0.925002
output_control,26,27,0.942796
output_control,27,28,0.934959
output_control,28,29,0.933069
output_control,29,30,0.923717
output_control,30,31,0.906797
output_control,31,32,0.936431
output_control,32,33,0.949634
output_control,33,34,0.946184
output_control,34,35,0.945668
output_control,35,36,0.962764
output_control,36,37,0.980347
output_control,37,38,0.970452
output_control,38,39,0.983000
output_control,39,40,0.988517
output_control,40,41,0.991067
output_control,41,42,0.992595
output_control,42,43,0.992857
output_control,43,44,0.988965
output_control,44,45,0.979465
output_control,45,46,0.960671
output_control,46,47,0.962254
stages,0,1,0.123561
stages,1,2,0.970796
stages,2,3,0.973612
stages,3,4,0.934441
stages,4,5,0.971964
stages,5,6,0.941621
stages,6,7,0.947380
stages,7,8,0.948171
stages,8,9,0.935182
stages,9,10,0.911456
stages,10,11,0.939676
stages,11,12,0.960796
stages,12,13,0.955334
stages,13,14,0.943912
stages,14,15,0.937123
stages,15,16,0.925156
stages,16,17,0.939762
stages,17,18,0.943996
stages,18,19,0.930633
stages,19,20,0.942335
stages,20,21,0.922216
stages,21,22,0.919402
stages,22,23,0.944374
stages,23,24,0.941834
stages,24,25,0.950428
stages,25,26,0.933028
stages,26,27,0.938218
stages,27,28,0.937735
stages,28,29,0.912847
stages,29,30,0.922162
stages,30,31,0.919560
stages,31,32,0.930618
stages,32,33,0.926500
stages,33,34,0.928078
stages,34,35,0.946156
stages,35,36,0.954231
stages,36,37,0.949626
stages,37,38,0.945008
stages,38,39,0.959122
stages,39,40,0.971716
stages,40,41,0.974471
stages,41,42,0.973122
stages,42,43,0.979260
stages,43,44,0.968759
stages,44,45,0.959831
stages,45,46,0.919044
stages,46,47,0.924073
