model_id,task,variant,steering_mode,vector_source,coefficient,hook_variant,positions,layers,n_requested,n_processed,invalid,accuracy,runtime_seconds,comment
qwen-2.5-14b-instruct,stages_oversight,plain,none,id_leverage,0.05,pre,all,[45],50,50,0,0.880000,43.493,
qwen-2.5-14b-instruct,self_recognition_who,plain,none,id_leverage,0.05,pre,all,[45],50,50,0,0.680000,14.905,
qwen-2.5-14b-instruct,output_control,plain,none,id_leverage,0.05,pre,all,[45],50,50,0,0.520000,5.747,
qwen-2.5-14b-instruct,id_leverage_generic,plain,none,id_leverage,0.05,pre,all,[45],50,50,0,0.560000,117.244,
qwen-2.5-14b-instruct,stages_oversight,sp,none,id_leverage,0.05,pre,all,[45],50,50,0,0.940000,43.675,
qwen-2.5-14b-instruct,self_recognition_who,sp,none,id_leverage,0.05,pre,all,[45],50,50,0,0.740000,14.573,
qwen-2.5-14b-instruct,output_control,sp,none,id_leverage,0.05,pre,all,[45],50,50,0,0.480000,5.683,
qwen-2.5-14b-instruct,id_leverage_generic,sp,none,id_leverage,0.05,pre,all,[45],50,50,0,0.380000,111.670,
qwen-2.5-14b-instruct,id_leverage_generic,plain,add,id_leverage,0.05,pre,all,[25],100,100,0,0.430000,383.102,vv=plain coef=0.05 layers=25
qwen-2.5-14b-instruct,id_leverage_generic,plain,add,id_leverage,0.025,pre,all,[25],100,100,0,0.490000,374.464,vv=sp coef=0.025 layers=25
qwen-2.5-14b-instruct,id_leverage_generic,plain,add,id_leverage,0.05,pre,all,[25],100,100,0,0.460000,186.606,vv=plain coef=0.05 layers=25
